timestamp,service,namespace,cpu_utilization,memory_utilization,cost_increase_percentage,replicas,traffic_requests_per_minute,storage_gb,log_volume_gb_per_day,idle_indicator,risk_score,expected_behavior
2026-01-01T00:00:00Z,backend-service,production,26.2,37.21,-1.77,2,834,33.32,11.37,0,0,normal
2026-01-01T00:00:00Z,frontend-service,staging,35.8,52.93,-1.77,4,745,111.17,6.87,0,0,normal
2026-01-01T00:00:00Z,payment-service,staging,42.0,35.74,-2.02,3,184,32.06,2.35,0,0,normal
2026-01-01T00:00:00Z,worker-service,production,51.8,28.93,-3.89,3,723,100.41,13.06,0,0,normal
2026-01-01T00:00:00Z,cache-service,staging,63.6,67.58,7.34,2,469,56.14,9.9,0,0,normal
2026-01-01T00:00:00Z,auth-service,staging,60.0,55.27,4.8,2,626,114.79,3.29,0,0,normal
2026-01-01T00:00:00Z,notification-service,staging,59.2,36.33,5.96,2,403,72.15,1.93,0,0,normal
2026-01-01T00:00:00Z,reporting-service,staging,32.13,37.3,2.77,4,631,54.16,9.18,0,0,normal
2026-01-01T00:00:00Z,search-service,production,29.53,67.97,2.35,2,722,40.8,10.53,0,0,normal
2026-01-01T00:00:00Z,billing-service,staging,73.5,58.98,8.48,2,778,135.02,11.51,0,0,normal
2026-01-01T00:00:00Z,analytics-service,staging,25.13,73.58,-6.43,2,599,138.64,13.19,0,0,normal
2026-01-01T00:00:00Z,inventory-service,production,32.53,51.95,-7.85,4,80,97.86,7.84,0,0,normal
2026-01-01T00:00:00Z,order-service,production,37.0,29.1,8.14,3,150,147.14,8.46,0,0,normal
2026-01-01T00:00:00Z,recommendation-service,staging,38.13,73.22,2.0,4,853,114.89,3.82,0,0,normal
2026-01-01T00:00:00Z,email-service,production,46.9,31.03,-1.85,2,145,63.95,9.24,0,0,normal
2026-01-01T00:00:00Z,logging-service,production,36.4,67.97,-0.9,2,606,50.94,10.37,0,0,normal
2026-01-01T00:00:00Z,gateway-service,staging,37.13,65.36,1.79,2,176,32.6,7.03,0,0,normal
2026-01-01T00:00:00Z,database-service,production,28.0,64.99,1.68,2,334,44.91,8.51,0,0,normal
2026-01-01T00:00:00Z,queue-service,production,68.67,47.07,-8.65,4,180,26.58,14.99,0,0,normal
2026-01-01T00:00:00Z,ml-inference-service,staging,49.27,68.16,-7.92,2,248,69.27,14.79,0,0,normal
2026-01-02T00:00:00Z,backend-service,production,59.8,32.74,-4.67,3,302,145.93,9.11,0,0,normal
2026-01-02T00:00:00Z,frontend-service,production,50.13,27.83,-3.38,4,162,130.67,1.96,0,0,normal
2026-01-02T00:00:00Z,payment-service,staging,72.0,53.91,-8.13,2,714,30.66,10.2,0,0,normal
2026-01-02T00:00:00Z,worker-service,production,36.9,31.54,10.96,4,387,79.44,14.01,0,0,normal
2026-01-02T00:00:00Z,cache-service,staging,28.6,50.29,4.42,2,437,134.51,13.31,0,0,normal
2026-01-02T00:00:00Z,auth-service,production,55.5,58.2,5.0,4,386,141.13,2.45,0,0,normal
2026-01-02T00:00:00Z,notification-service,staging,38.53,60.84,5.29,2,783,102.45,4.7,0,0,normal
2026-01-02T00:00:00Z,reporting-service,staging,66.47,25.0,-0.99,2,732,147.37,3.26,0,0,normal
2026-01-02T00:00:00Z,search-service,production,30.4,52.25,3.92,3,676,91.83,7.02,0,0,normal
2026-01-02T00:00:00Z,billing-service,production,59.07,42.58,-6.8,4,496,146.6,11.49,0,0,normal
2026-01-02T00:00:00Z,analytics-service,staging,33.8,64.11,7.41,3,765,132.33,12.35,0,0,normal
2026-01-02T00:00:00Z,inventory-service,production,68.6,36.11,5.84,3,438,59.67,12.13,0,0,normal
2026-01-02T00:00:00Z,order-service,staging,41.4,73.24,-8.04,3,439,103.39,6.6,0,0,normal
2026-01-02T00:00:00Z,recommendation-service,staging,54.0,26.9,-2.05,4,524,64.94,12.01,0,0,normal
2026-01-02T00:00:00Z,email-service,production,69.93,37.7,2.73,4,526,20.22,13.96,0,0,normal
2026-01-02T00:00:00Z,logging-service,staging,56.1,60.94,-3.78,3,599,60.21,6.72,0,0,normal
2026-01-02T00:00:00Z,gateway-service,production,46.0,58.86,4.07,2,710,93.98,6.69,0,0,normal
2026-01-02T00:00:00Z,database-service,production,48.2,58.76,-3.13,4,564,123.19,14.44,0,0,normal
2026-01-02T00:00:00Z,queue-service,staging,29.6,58.59,-2.31,2,283,39.16,1.65,0,0,normal
2026-01-02T00:00:00Z,ml-inference-service,production,69.27,60.84,-7.24,3,586,71.95,3.07,0,0,normal
2026-01-03T00:00:00Z,backend-service,staging,33.73,27.49,-8.26,2,204,79.34,12.22,0,0,normal
2026-01-03T00:00:00Z,frontend-service,staging,66.47,69.85,-5.07,4,566,78.51,11.52,0,0,normal
2026-01-03T00:00:00Z,payment-service,production,38.67,60.55,7.61,2,358,63.66,13.5,0,0,normal
2026-01-03T00:00:00Z,worker-service,staging,60.27,45.7,2.32,3,635,80.57,1.87,0,0,normal
2026-01-03T00:00:00Z,cache-service,staging,67.8,48.83,-0.74,3,385,117.95,12.95,0,0,normal
2026-01-03T00:00:00Z,auth-service,staging,49.33,46.78,-4.35,2,478,63.7,10.51,0,0,normal
2026-01-03T00:00:00Z,notification-service,staging,70.2,29.1,2.38,3,218,132.69,3.54,0,0,normal
2026-01-03T00:00:00Z,reporting-service,production,41.8,38.89,-9.13,3,338,128.54,7.58,0,0,normal
2026-01-03T00:00:00Z,search-service,production,64.0,62.7,8.05,2,284,129.1,9.7,0,0,normal
2026-01-03T00:00:00Z,billing-service,production,48.13,63.33,-5.2,2,700,98.94,11.47,0,0,normal
2026-01-03T00:00:00Z,analytics-service,production,53.8,53.76,8.6,3,486,142.39,3.78,0,0,normal
2026-01-03T00:00:00Z,inventory-service,staging,64.8,42.19,10.87,3,757,68.17,8.08,0,0,normal
2026-01-03T00:00:00Z,order-service,staging,46.6,56.74,-2.29,3,804,39.89,3.47,0,0,normal
2026-01-03T00:00:00Z,recommendation-service,staging,46.73,41.11,-1.3,2,168,56.26,7.31,0,0,normal
2026-01-03T00:00:00Z,email-service,staging,26.4,34.08,-1.2,2,443,123.72,5.76,0,0,normal
2026-01-03T00:00:00Z,logging-service,staging,37.0,49.41,-5.66,2,787,81.89,10.97,0,0,normal
2026-01-03T00:00:00Z,gateway-service,staging,45.2,40.23,-8.98,4,457,81.52,8.43,0,0,normal
2026-01-03T00:00:00Z,database-service,production,60.1,40.28,6.53,2,203,113.77,5.42,0,0,normal
2026-01-03T00:00:00Z,queue-service,production,61.2,74.02,-3.92,2,383,49.57,3.51,0,0,normal
2026-01-03T00:00:00Z,ml-inference-service,production,73.6,59.86,-1.42,2,733,132.9,7.87,0,0,normal
2026-01-04T00:00:00Z,backend-service,production,42.0,37.5,-1.53,3,196,126.88,6.61,0,0,normal
